Day,Year,Hour,Minute,Second,Name,Shares,Ask_Price,Bid_Price
125,2020,11,8,41,MDGS,10,3.22,3.21
125,2020,11,8,41,TUES,10,0.4915,0.4896
125,2020,11,9,39,MDGS,10,3.22,3.21
125,2020,11,9,39,TUES,10,0.4915,0.4896
125,2020,11,10,37,MDGS,10,3.22,3.21
125,2020,11,10,37,TUES,10,0.4915,0.4896
125,2020,11,11,43,MDGS,10,3.22,3.21
125,2020,11,11,45,TUES,10,0.4915,0.4911
125,2020,11,12,38,MDGS,10,3.22,3.21
125,2020,11,12,38,TUES,10,0.4915,0.4911
125,2020,11,13,41,MDGS,10,3.22,3.19
125,2020,11,13,42,TUES,10,0.4912,0.4896
125,2020,11,14,41,MDGS,10,3.21,3.18
125,2020,11,14,41,TUES,10,0.4912,0.4897
125,2020,11,15,39,MDGS,10,3.21,3.18
125,2020,11,15,40,TUES,10,0.4912,0.4897
125,2020,11,16,39,MDGS,10,3.21,3.18
125,2020,11,16,39,TUES,10,0.4912,0.4897
125,2020,11,17,41,MDGS,10,3.21,3.18
125,2020,11,17,41,TUES,10,0.4911,0.4896
125,2020,11,18,40,MDGS,10,3.21,3.18
125,2020,11,18,40,TUES,10,0.4911,0.4896
125,2020,11,19,41,MDGS,10,3.21,3.18
125,2020,11,19,41,TUES,10,0.4911,0.489
125,2020,11,21,8,MDGS,10,3.21,3.18
125,2020,11,21,8,TUES,10,0.4899,0.489
125,2020,11,21,9,TUES,10,0.4895,0.489
125,2020,11,21,23,TUES,10,0.4895,0.4888
125,2020,11,21,36,TUES,10,0.4889,0.4888
125,2020,11,22,24,MDGS,10,3.2,3.18
125,2020,11,22,43,TUES,10,0.4889,0.4808
125,2020,11,23,6,MDGS,10,3.18,3.13
125,2020,11,23,39,MDGS,10,3.17,3.13
125,2020,11,23,40,TUES,10,0.4887,0.4808
125,2020,11,23,48,MDGS,10,3.17,3.14
125,2020,11,23,58,TUES,10,0.4887,0.485
125,2020,11,24,22,MDGS,10,3.2,3.15
125,2020,11,25,4,MDGS,10,3.18,3.15
125,2020,11,25,4,TUES,10,0.4887,0.4808
125,2020,11,25,13,TUES,10,0.4887,0.4846
125,2020,11,25,32,MDGS,10,3.18,3.17
125,2020,11,25,32,TUES,10,0.4849,0.4808
125,2020,11,25,46,MDGS,10,3.2,3.16
125,2020,11,25,53,MDGS,10,3.2,3.18
125,2020,11,25,53,TUES,10,0.4849,0.4835
125,2020,11,26,3,MDGS,10,3.18,3.13
125,2020,11,26,3,TUES,10,0.4849,0.4843
125,2020,11,26,14,TUES,10,0.4849,0.4808
125,2020,11,27,3,MDGS,10,3.2,3.15
125,2020,11,27,15,TUES,10,0.4849,0.4805
125,2020,11,27,45,MDGS,10,3.2,3.18
125,2020,11,27,45,TUES,10,0.4849,0.481
125,2020,11,27,57,TUES,10,0.4847,0.481
125,2020,11,28,49,MDGS,10,3.2,3.19
125,2020,11,29,9,TUES,10,0.4845,0.481
125,2020,11,29,20,MDGS,10,3.18,3.13
125,2020,11,29,20,TUES,10,0.4845,0.4828
125,2020,11,30,3,TUES,10,0.4845,0.481
125,2020,11,30,52,MDGS,10,3.18,3.14
125,2020,11,31,0,MDGS,10,3.17,3.15
125,2020,11,31,10,MDGS,10,3.17,3.13
125,2020,11,31,11,TUES,10,0.4845,0.4815
125,2020,11,31,20,MDGS,10,3.17,3.15
125,2020,11,31,40,MDGS,10,3.21,3.18
125,2020,11,32,1,TUES,10,0.4845,0.4841
125,2020,11,32,20,TUES,10,0.4845,0.4815
125,2020,11,32,31,TUES,10,0.4844,0.4843
125,2020,11,33,1,MDGS,10,3.21,3.19
125,2020,11,33,23,MDGS,10,3.21,3.18
125,2020,11,33,23,TUES,10,0.49,0.4843
125,2020,11,33,44,TUES,10,0.489,0.4843
125,2020,11,34,34,MDGS,10,3.21,3.19
125,2020,11,35,5,TUES,10,0.489,0.4882
125,2020,11,35,14,TUES,10,0.49,0.4882
125,2020,11,35,50,TUES,10,0.4914,0.4893
125,2020,11,36,10,MDGS,10,3.21,3.18
125,2020,11,36,10,TUES,10,0.4899,0.4893
125,2020,11,36,30,TUES,10,0.4899,0.4898
125,2020,11,36,50,MDGS,10,3.21,3.13
125,2020,11,37,0,MDGS,10,3.21,3.14
125,2020,11,37,0,TUES,10,0.5,0.4899
125,2020,11,38,25,TUES,10,0.5,0.48
125,2020,11,38,55,MDGS,10,3.18,3.14
125,2020,11,39,46,TUES,10,0.4918,0.48
125,2020,11,40,27,TUES,10,0.5,0.48
125,2020,11,40,47,MDGS,10,3.14,3.13
125,2020,11,41,9,MDGS,10,3.18,3.13
125,2020,11,41,18,MDGS,10,3.15,3.13
125,2020,11,42,22,MDGS,10,3.15,3.14
125,2020,11,42,26,TUES,10,0.5,0.4886
125,2020,11,42,53,TUES,10,0.49,0.4886
125,2020,11,43,2,TUES,10,0.5,0.4886
125,2020,11,43,16,TUES,10,0.49,0.4886
125,2020,11,43,57,TUES,10,0.49,0.4896
125,2020,11,47,31,MDGS,10,3.15,3.13
125,2020,11,47,51,MDGS,10,3.14,3.13
125,2020,11,48,41,TUES,10,0.4899,0.4896
125,2020,11,49,13,TUES,10,0.4898,0.4896
125,2020,11,49,23,TUES,10,0.4899,0.4898
125,2020,11,50,32,TUES,10,0.49,0.4898
125,2020,11,50,47,MDGS,10,3.14,3.12
125,2020,11,50,48,TUES,10,0.4899,0.4898
125,2020,11,51,13,TUES,10,0.49,0.4898
125,2020,11,51,22,MDGS,10,3.14,3.13
125,2020,11,52,14,TUES,10,0.49,0.4899
125,2020,11,53,56,MDGS,10,3.13,3.12
125,2020,11,56,19,TUES,10,0.4885,0.48
125,2020,11,56,39,MDGS,10,3.14,3.12
125,2020,11,57,0,MDGS,10,3.15,3.14
125,2020,11,57,11,MDGS,10,3.17,3.14
125,2020,11,57,33,MDGS,10,3.15,3.14
125,2020,11,57,44,TUES,10,0.49,0.4874
125,2020,11,58,16,TUES,10,0.49,0.4887
125,2020,11,59,54,TUES,10,0.49,0.4888
125,2020,12,0,25,TUES,10,0.49,0.4898
125,2020,12,1,7,MDGS,10,3.15,3.12
125,2020,12,1,37,MDGS,10,3.14,3.12
125,2020,12,1,58,MDGS,10,3.13,3.12
125,2020,12,2,18,MDGS,10,3.15,3.12
125,2020,12,3,9,MDGS,10,3.13,3.11
125,2020,12,3,9,TUES,10,0.4899,0.4898
125,2020,12,4,19,MDGS,10,3.14,3.12
125,2020,12,4,59,TUES,10,0.49,0.4898
125,2020,12,5,11,TUES,10,0.4899,0.4898
125,2020,12,5,30,MDGS,10,3.14,3.11
125,2020,12,5,50,MDGS,10,3.14,3.12
125,2020,12,10,18,TUES,10,0.4895,0.4885
125,2020,12,11,40,TUES,10,0.4897,0.4885
125,2020,12,11,53,TUES,10,0.4895,0.4885
125,2020,12,14,37,TUES,10,0.4895,0.4857
125,2020,12,14,45,MDGS,10,3.18,3.13
125,2020,12,15,6,MDGS,10,3.17,3.13
125,2020,12,15,19,MDGS,10,3.17,3.14
125,2020,12,15,46,MDGS,10,3.17,3.15
125,2020,12,17,29,TUES,10,0.4895,0.48
125,2020,12,18,14,TUES,10,0.4895,0.482
125,2020,12,18,33,MDGS,10,3.21,3.18
125,2020,12,18,34,TUES,10,0.49,0.482
125,2020,12,18,44,TUES,10,0.49,0.485
125,2020,12,19,5,MDGS,10,3.2,3.18
125,2020,12,19,14,TUES,10,0.4895,0.485
125,2020,12,19,23,MDGS,10,3.21,3.19
125,2020,12,20,26,MDGS,10,3.18,3.12
125,2020,12,21,16,TUES,10,0.4895,0.48
