Day,Year,Hour,Minute,Second,Name,Shares,Ask_Price,Bid_Price
125,2020,13,6,51,MDGS,10,3.2,3.18
125,2020,13,7,2,TUES,10,0.4774,0.4763
125,2020,13,7,52,MDGS,10,3.2,3.16
125,2020,13,7,52,TUES,10,0.48,0.4763
125,2020,13,8,22,TUES,10,0.48,0.4766
125,2020,13,8,41,MDGS,10,3.18,3.16
125,2020,13,8,41,TUES,10,0.4789,0.4778
125,2020,13,8,51,TUES,10,0.4789,0.4784
125,2020,13,9,2,TUES,10,0.4789,0.4786
125,2020,13,9,21,MDGS,10,3.2,3.16
125,2020,13,9,55,TUES,10,0.4789,0.4764
125,2020,13,10,35,TUES,10,0.478,0.4764
125,2020,13,10,45,TUES,10,0.4779,0.4772
125,2020,13,11,6,TUES,10,0.4779,0.4776
125,2020,13,12,49,TUES,10,0.4779,0.4764
125,2020,13,12,57,MDGS,10,3.19,3.16
125,2020,13,12,57,TUES,10,0.4779,0.4772
125,2020,13,13,10,TUES,10,0.4779,0.4764
125,2020,13,13,37,TUES,10,0.4779,0.4778
125,2020,13,15,40,MDGS,10,3.2,3.19
125,2020,13,16,3,MDGS,10,3.21,3.2
125,2020,13,16,11,MDGS,10,3.21,3.19
125,2020,13,16,53,MDGS,10,3.23,3.2
125,2020,13,17,3,MDGS,10,3.23,3.19
125,2020,13,17,58,TUES,10,0.4773,0.4764
125,2020,13,18,25,TUES,10,0.4773,0.477
125,2020,13,18,43,MDGS,10,3.22,3.19
125,2020,13,19,6,TUES,10,0.4773,0.4764
125,2020,13,20,27,TUES,10,0.4773,0.4751
125,2020,13,22,8,TUES,10,0.474,0.4726
125,2020,13,22,23,TUES,10,0.4739,0.4726
125,2020,13,22,28,TUES,10,0.4738,0.4726
125,2020,13,22,58,MDGS,10,3.23,3.21
125,2020,13,22,58,TUES,10,0.4774,0.4726
125,2020,13,23,8,MDGS,10,3.23,3.2
125,2020,13,23,9,TUES,10,0.4774,0.4731
125,2020,13,23,29,TUES,10,0.4773,0.4731
125,2020,13,23,48,MDGS,10,3.23,3.21
125,2020,13,23,58,MDGS,10,3.23,3.2
125,2020,13,23,58,TUES,10,0.4773,0.4725
125,2020,13,24,19,TUES,10,0.4773,0.4728
125,2020,13,24,29,TUES,10,0.477,0.4728
125,2020,13,24,49,TUES,10,0.4769,0.4701
125,2020,13,27,1,TUES,10,0.4769,0.475
125,2020,13,27,16,TUES,10,0.4769,0.476
125,2020,13,27,43,TUES,10,0.4769,0.4765
125,2020,13,28,3,TUES,10,0.4769,0.4767
125,2020,13,28,21,MDGS,10,3.24,3.22
125,2020,13,28,31,MDGS,10,3.24,3.21
125,2020,13,28,45,MDGS,10,3.24,3.22
125,2020,13,28,45,TUES,10,0.4769,0.4768
125,2020,13,28,51,MDGS,10,3.23,3.21
125,2020,13,28,51,TUES,10,0.4774,0.4762
125,2020,13,29,11,TUES,10,0.4774,0.4768
125,2020,13,29,21,TUES,10,0.48,0.4768
125,2020,13,29,35,MDGS,10,3.24,3.22
125,2020,13,29,36,TUES,10,0.4862,0.4787
125,2020,13,29,43,MDGS,10,3.24,3.21
125,2020,13,29,53,TUES,10,0.49,0.475
125,2020,13,30,43,MDGS,10,3.24,3.22
125,2020,13,30,53,MDGS,10,3.24,3.21
125,2020,13,31,33,MDGS,10,3.25,3.22
125,2020,13,32,54,MDGS,10,3.25,3.23
125,2020,13,33,4,MDGS,10,3.25,3.22
125,2020,13,33,15,MDGS,10,3.25,3.24
125,2020,13,33,45,MDGS,10,3.25,3.22
125,2020,13,34,36,TUES,10,0.4881,0.475
125,2020,13,35,36,MDGS,10,3.25,3.23
125,2020,13,36,6,MDGS,10,3.25,3.24
125,2020,13,36,56,MDGS,10,3.25,3.22
125,2020,13,36,56,TUES,10,0.4881,0.48
125,2020,13,37,7,TUES,10,0.488,0.48
125,2020,13,37,57,TUES,10,0.485,0.48
125,2020,13,38,18,TUES,10,0.488,0.48
125,2020,13,39,9,TUES,10,0.488,0.4795
125,2020,13,39,39,MDGS,10,3.24,3.22
125,2020,13,39,50,TUES,10,0.488,0.484
125,2020,13,40,9,TUES,10,0.488,0.486
125,2020,13,40,32,TUES,10,0.488,0.475
125,2020,13,40,50,MDGS,10,3.25,3.24
125,2020,13,41,10,TUES,10,0.4879,0.475
125,2020,13,41,30,TUES,10,0.485,0.475
125,2020,13,42,21,TUES,10,0.485,0.4845
125,2020,13,43,2,TUES,10,0.485,0.475
125,2020,13,43,22,MDGS,10,3.27,3.25
125,2020,13,43,32,MDGS,10,3.27,3.24
125,2020,13,43,42,MDGS,10,3.27,3.26
125,2020,13,43,52,MDGS,10,3.27,3.24
125,2020,13,44,12,TUES,10,0.4849,0.475
125,2020,13,44,23,MDGS,10,3.27,3.25
125,2020,13,44,43,MDGS,10,3.27,3.24
125,2020,13,45,13,MDGS,10,3.34,3.3
125,2020,13,45,14,TUES,10,0.4849,0.4825
125,2020,13,45,44,TUES,10,0.484,0.482
125,2020,13,45,54,MDGS,10,3.35,3.32
125,2020,13,45,54,TUES,10,0.484,0.475
125,2020,13,46,3,MDGS,10,3.35,3.33
125,2020,13,46,13,MDGS,10,3.35,3.3
125,2020,13,46,13,TUES,10,0.4874,0.475
125,2020,13,46,34,TUES,10,0.4874,0.4837
125,2020,13,46,45,MDGS,10,3.35,3.31
125,2020,13,46,45,TUES,10,0.49,0.4837
125,2020,13,46,54,MDGS,10,3.35,3.3
125,2020,13,46,54,TUES,10,0.4895,0.4837
125,2020,13,48,15,TUES,10,0.4895,0.475
125,2020,13,48,46,TUES,10,0.4895,0.482
125,2020,13,49,5,TUES,10,0.4895,0.4836
125,2020,13,50,25,TUES,10,0.4895,0.4831
125,2020,13,51,57,TUES,10,0.489,0.4831
125,2020,13,52,16,MDGS,10,3.34,3.3
125,2020,13,52,47,MDGS,10,3.35,3.33
125,2020,13,56,41,TUES,10,0.4888,0.4831
125,2020,13,56,51,TUES,10,0.4887,0.47
125,2020,13,57,2,MDGS,10,3.35,3.34
125,2020,13,57,2,TUES,10,0.489,0.47
125,2020,13,57,41,TUES,10,0.4885,0.47
125,2020,13,58,1,MDGS,10,3.35,3.33
125,2020,13,58,12,TUES,10,0.489,0.4701
125,2020,14,0,2,TUES,10,0.489,0.4702
125,2020,14,1,13,TUES,10,0.489,0.4703
125,2020,14,1,34,TUES,10,0.489,0.4751
125,2020,14,8,17,MDGS,10,3.35,3.34
125,2020,14,11,8,TUES,10,0.489,0.4752
125,2020,14,11,29,TUES,10,0.489,0.4755
125,2020,14,11,39,MDGS,10,3.35,3.33
125,2020,14,12,41,TUES,10,0.4754,0.4751
125,2020,14,13,23,TUES,10,0.4754,0.4753
125,2020,14,13,34,TUES,10,0.489,0.478
125,2020,14,14,2,TUES,10,0.489,0.4775
125,2020,14,14,22,TUES,10,0.4869,0.4775
125,2020,14,14,32,TUES,10,0.4868,0.4775
